ORF,Gene,Plate,Row,Column,wellId
YKL205W,LOS1,1,8,17,r08c17
YDR430C,CYM1,1,8,18,r08c18
YBL063W,KIP1,1,8,19,r08c19
YGL241W,KAP114,1,8,20,r08c20
YIL151C,0,1,8,21,r08c21
YIL125W,KGD1,1,8,22,r08c22
YAL019W,FUN30,1,8,23,r08c23
YGR047C,TFC4,1,8,24,r08c24
YLR086W,SMC4,1,9,1,r09c01
YLR410W,VIP1,1,9,2,r09c02
YAL024C,LTE1,1,9,3,r09c03
YLR032W,RAD5,1,9,4,r09c04
YNL102W,POL1,1,9,5,r09c05
YGL062W,PYC1,1,9,6,r09c06
YPL242C,IQG1,1,9,7,r09c07
YPL226W,NEW1,1,9,8,r09c08
YML072C,TCB3,1,9,9,r09c09
YLR084C,RAX2,1,9,10,r09c10
YNL139C,RLR1,1,9,11,r09c11
YNL257C,SIP3,1,9,12,r09c12
YDR283C,GCN2,1,9,13,r09c13
YBL007C,SLA1,1,9,14,r09c14
YNL172W,APC1,1,9,15,r09c15
YOR124C,UBP2,1,9,16,r09c16
YLR024C,UBR2,1,9,17,r09c17
YKL215C,OXP1,1,9,18,r09c18
YKL182W,FAS1,1,9,19,r09c19
YDR216W,ADR1,1,9,20,r09c20
YNL262W,POL2,1,9,21,r09c21
YDR301W,CFT1,1,9,22,r09c22
YDR150W,NUM1,1,9,23,r09c23
YJR127C,RSF2,1,9,24,r09c24
YIL031W,ULP2,1,10,1,r10c01
YIL017C,VID28,1,10,2,r10c02
YER114C,BOI2,1,10,3,r10c03
YPR135W,CTF4,1,10,4,r10c04
YDR017C,KCS1,1,10,5,r10c05
YMR124W,0,1,10,6,r10c06
YKL157W,APE2,1,10,7,r10c07
YIL137C,TMA108,1,10,8,r10c08
YBL076C,ILS1,1,10,9,r10c09
YJR089W,BIR1,1,10,10,r10c10
YDR291W,HRQ1,1,10,11,r10c11
YMR086W,SEG1,1,10,12,r10c12
YGR218W,CRM1,1,10,13,r10c13
YNL118C,DCP2,1,10,14,r10c14
YOL034W,SMC5,1,10,15,r10c15
YMR275C,BUL1,1,10,16,r10c16
YOL045W,PSK2,1,10,17,r10c17
YIR002C,MPH1,1,10,18,r10c18
YER110C,KAP123,1,10,19,r10c19
YOR048C,RAT1,1,10,20,r10c20
YOR304W,ISW2,1,10,21,r10c21
YDR028C,REG1,1,10,22,r10c22
YKL105C,0,1,10,23,r10c23
YDR060W,MAK21,1,10,24,r10c24
